TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;1,13;;-0,73;0,32;0,08;-13,99;-17,42;-58,25;-2,45;-17,45;-15,00;1,96;0,43;0,65;-0,12;1,78;-43,60;-11,47;-4,78;0,26;0,73;0,20;3,50;;77.244,45;3,53;-1,54;0,05;83.189.729,90
TECN3;8,55;4,80;7,09;1,19;0,77;54,72;15,68;15,21;6,87;7,10;0,23;0,04;1,08;1,62;-2,20;3,60;16,78;10,80;14,07;0,64;0,36;0,71;14,36;;384.907,95;7,19;1,21;0,45;520.748.138,25
TEKA3;42,50;;0,15;-0,01;0,02;24,94;-10,67;43,69;-0,60;-1,94;-1,54;;0,06;-0,01;-0,02;0,04;-6,36;12,79;30,07;-2,01;3,01;0,29;17,70;;;-4.587,35;291,75;0,00;14.260.237,50
TEKA4;21,25;;0,07;0,00;0,01;24,94;-10,67;43,69;-0,30;-1,94;-1,54;;0,03;0,00;-0,01;0,04;-6,36;12,79;30,07;-2,01;3,01;0,29;17,70;;;-4.587,35;291,75;0,00;14.260.237,50
TELB3;12,35;;20,36;0,76;0,29;-35,04;30,26;12,09;8,14;-2,35;-9,95;-0,93;2,46;0,62;-0,63;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;3.174,53;16,30;0,61;0,02;1.177.397.617,19
TELB4;7,89;;13,01;0,48;0,18;-35,04;30,26;12,09;5,20;-2,35;-9,95;-0,93;1,57;0,40;-0,41;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;20.065,90;16,30;0,61;0,01;1.177.397.617,19
TEND3;32,69;3,77;6,64;2,95;0,56;30,80;13,56;13,43;6,58;7,11;0,53;0,24;0,89;1,95;-1,35;2,00;44,45;8,51;19,90;0,19;0,81;0,63;12,83;24,68;80.756.632,81;11,08;4,92;0,03;4.007.079.788,88
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;2,59;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;14,83;1,04;97,40;23,76;13,94;57,30;19,91;13,23;64,73;11,05;0,53;0,20;12,89;31,04;-45,66;2,83;24,39;14,31;21,23;0,59;0,41;1,08;31,38;40,92;11.323.237,25;0,62;0,15;7,07;2.272.222.962,25
TGMA3;30,65;12,53;8,50;2,22;1,48;18,59;14,12;10,32;6,21;6,24;0,03;0,01;0,88;5,66;-2,82;2,22;26,13;17,42;13,14;0,67;0,33;1,69;17,07;26,45;7.528.271,20;13,80;3,61;-0,61;2.022.989.344,75
TIET11;12,54;;-17,06;0,95;0,24;0,00;21,64;-7,77;6,13;18,71;12,58;1,95;1,33;-6,45;-0,29;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;13,19;-0,73;0,06;5.004.795.800,93
TIET3;3,49;;-23,75;1,32;0,33;0,00;21,64;-7,77;8,52;18,71;12,58;1,95;1,84;-8,98;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93
TIET4;3,51;;-23,88;1,33;0,33;0,00;21,64;-7,77;8,57;18,71;12,58;1,95;1,85;-9,03;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93
TIMS3;21,90;6,48;26,07;4,35;0,88;54,05;24,28;7,43;7,98;6,86;-1,12;-0,61;1,94;-69,54;-1,20;0,95;16,69;3,38;30,15;0,20;0,66;0,45;9,05;1,73;130.287.859,95;5,03;0,84;0,77;52.387.556.969,10
TKNO3;214,99;9,00;21,11;2,19;1,79;21,26;10,82;10,11;19,72;18,66;-1,10;-0,12;2,13;4,65;-3,77;3,78;10,38;8,50;4,10;0,82;0,18;0,84;10,24;18,59;0,00;98,12;10,18;-0,52;635.123.987,99
TKNO4;216,00;7,59;21,21;2,20;1,80;21,26;10,82;10,11;19,81;18,66;-1,10;-0,12;2,14;4,68;-3,79;3,78;10,38;8,50;4,10;0,82;0,18;0,84;10,24;18,59;0,00;98,12;10,18;-0,52;635.123.987,99
TOKY3;0,15;;-0,35;84,18;17,21;52,50;0,42;-6,51;5,31;5,38;0,08;1,24;0,02;-228,07;-25,40;0,81;-24.363,77;-4.981,80;-1.654,59;0,20;0,92;764,87;19,10;;180.172,10;0,00;-0,43;0,01;32.518.048,50
TOTS3;33,07;1,97;21,41;3,99;1,52;70,63;19,91;15,41;16,58;19,45;2,87;0,69;3,30;13,68;-2,14;1,62;18,65;7,09;9,64;0,38;0,59;0,46;17,33;25,71;379.168.034,71;8,28;1,54;1,20;19.822.210.283,67
TOYB3;2,29;;-43,94;0,03;0,00;24,06;-10,70;-10,96;-45,00;-46,99;;;4,81;0,34;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;0,03;0,00;24,06;-10,70;-10,96;-49,12;-46,99;;;5,26;0,37;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,52;71.890.222,22
TPIS3;9,98;5,50;-1,13;0,88;0,20;26,50;-52,90;-42,83;-0,92;-3,39;-2,47;2,36;0,49;-0,59;-0,23;0,22;-77,17;-17,97;-28,01;0,23;0,78;0,42;1,71;;557.525,00;11,40;-8,80;0,00;439.120.000,00
TRAD3;1,25;;0,57;0,49;0,44;18,75;-463,64;428,31;-0,53;-0,49;0,04;-0,04;2,45;4,40;-0,51;3,07;85,56;76,48;-90,32;0,89;0,10;0,18;-11,06;46,01;94.959,55;2,55;2,18;0,00;50.026.273,75
TRIS3;4,35;22,64;5,53;0,71;0,32;27,82;13,71;13,17;5,31;7,59;2,28;0,31;0,73;0,55;-1,90;3,21;12,92;5,73;6,43;0,44;0,55;0,44;9,42;2,34;2.053.717,35;6,09;0,79;1,18;1.055.386.290,30
TTEN3;15,60;1,17;10,96;1,64;0,53;15,32;2,95;4,16;15,48;19,73;4,25;0,45;0,46;4,10;-1,44;1,26;14,93;4,86;1,59;0,33;0,67;1,17;39,47;23,67;21.268.880,90;9,53;1,42;-1,07;7.811.507.293,20
TUPY3;12,80;;-2,29;0,73;0,18;11,31;-3,25;-7,79;-5,47;-12,17;-6,70;0,89;0,18;0,52;-0,50;2,24;-31,97;-8,03;-7,22;0,25;0,75;1,03;17,88;;9.138.774,52;17,50;-5,59;0,00;1.695.365.312,00
TXRX3;9,98;;-0,74;-0,10;0,25;20,30;-7,98;-49,57;-4,60;-40,68;-38,62;;0,37;-0,33;-0,42;0,34;-13,77;-33,95;15,40;-2,47;3,47;0,68;6,76;;0,00;-97,97;-13,49;-0,02;19.021.182,74
TXRX4;1,60;;-0,12;-0,02;0,04;20,30;-7,98;-49,57;-0,74;-40,68;-38,62;;0,06;-0,05;-0,07;0,34;-13,77;-33,95;15,40;-2,47;3,47;0,68;6,76;;17,78;-97,97;-13,49;0,00;19.021.182,74
UCAS3;1,32;;-6,58;0,50;0,21;30,62;-5,62;-5,59;-6,55;-14,91;-8,36;0,64;0,37;6,09;-0,29;1,15;-7,66;-3,23;-5,13;0,42;0,58;0,58;9,69;;770.966,29;2,62;-0,20;0,02;87.234.000,48
UGPA3;25,87;5,03;9,63;1,75;0,57;7,13;4,11;2,06;4,81;7,14;2,33;0,85;0,20;3,47;-0,98;1,67;18,19;5,97;11,71;0,33;0,63;2,90;11,87;27,38;202.105.656,81;14,76;2,69;0,30;28.867.036.214,51
UNIP3;58,57;15,80;17,69;3,54;0,89;25,68;12,43;7,48;10,64;14,79;3,87;1,29;1,32;5,02;-1,35;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;291.137,05;16,55;3,31;-0,42;6.801.983.444,93
UNIP5;60,16;16,92;18,17;3,64;0,91;25,68;12,43;7,48;10,93;14,79;3,87;1,29;1,36;5,16;-1,38;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;15.534,20;16,55;3,31;-0,43;6.801.983.444,93
UNIP6;60,91;16,71;18,40;3,68;0,92;25,68;12,43;7,48;11,07;14,79;3,87;1,29;1,38;5,22;-1,40;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;13.233.157,33;16,55;3,31;-0,43;6.801.983.444,93
USIM3;10,07;;-4,84;0,61;0,36;8,39;-5,65;-10,32;-8,83;-8,87;0,35;-0,02;0,50;0,99;-0,68;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;6.666.267,65;16,39;-2,08;0,00;13.171.803.225,80
USIM5;11,08;;-5,32;0,68;0,40;8,39;-5,65;-10,32;-9,72;-8,87;0,35;-0,02;0,55;1,09;-0,75;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;162.944.543,19;16,39;-2,08;0,00;13.171.803.225,80
USIM6;8,00;;-3,84;0,49;0,29;8,39;-5,65;-10,32;-7,02;-8,87;0,35;-0,02;0,40;0,79;-0,54;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;342,86;16,39;-2,08;0,00;13.171.803.225,80
VALE3;82,82;6,61;23,56;1,92;0,80;35,08;15,71;7,26;10,89;12,99;2,10;0,37;1,71;21,74;-0,99;1,24;8,16;3,41;2,67;0,42;0,57;0,47;0,72;-10,20;1.465.074.334,71;43,07;3,51;-0,47;367.651.211.654,48
VAMO3;3,06;4,60;12,16;1,44;0,16;50,50;43,43;5,09;1,42;5,94;4,51;4,55;0,62;1,31;-0,23;1,77;11,81;1,34;12,65;0,11;0,89;0,26;30,63;11,41;43.879.138,20;2,13;0,25;21,58;3.738.790.206,90
VBBR3;29,75;3,68;11,86;1,64;0,56;5,18;3,09;1,56;6,01;9,07;3,06;0,84;0,19;3,18;-0,93;1,77;13,83;4,68;10,21;0,34;0,66;2,99;18,33;-5,10;244.416.972,24;18,13;2,51;-0,23;35.657.265.047,25
VITT3;3,51;8,05;9,18;0,90;0,59;29,45;7,86;7,70;9,00;12,14;3,15;0,31;0,71;1,69;-1,56;2,26;9,79;6,41;6,51;0,65;0,35;0,83;9,09;-5,40;1.150.404,85;3,90;0,38;-0,61;568.779.424,20
VIVA3;21,84;3,19;8,81;1,70;1,10;69,91;23,54;18,97;7,10;7,38;0,28;0,07;1,67;2,29;-3,01;4,14;19,31;12,52;19,59;0,65;0,35;0,66;23,64;31,89;79.255.505,20;12,83;2,48;-0,44;5.158.559.274,96
VIVR3;0,32;;-0,93;-0,39;0,07;23,54;-32,41;-58,66;-1,67;-3,24;-1,57;;0,54;-1,61;-0,12;0,90;-41,68;-8,01;57,09;-0,19;1,19;0,14;-8,14;;21.479,95;-0,83;-0,35;0,01;15.616.130,88
VIVT3;33,82;3,12;17,13;1,57;0,84;44,93;16,81;10,50;10,70;11,75;1,05;0,15;1,80;42,33;-1,07;1,10;9,17;4,88;9,00;0,53;0,47;0,46;6,68;5,96;176.851.876,67;21,54;1,97;1,48;109.121.806.756,04
VIVT4;45,34;;22,96;2,10;1,12;44,93;16,81;10,50;14,35;11,75;1,05;0,15;2,41;56,75;-1,44;1,10;9,17;4,88;9,00;0,53;0,47;0,46;6,68;5,96;;21,54;1,97;1,99;109.121.806.756,04
VLID3;17,63;8,54;5,92;0,84;0,47;34,81;13,59;12,13;5,29;5,55;0,26;0,04;0,72;1,77;-0,90;2,32;14,22;8,01;9,42;0,56;0,43;0,66;1,24;;9.115.417,30;20,95;2,98;-0,29;1.442.775.291,25
VSPT3;5,00;;-39,23;0,78;0,38;12,17;-2,09;-1,89;-35,49;-31,74;3,74;-0,08;0,74;-12,77;-0,42;0,78;-1,99;-0,96;-2,20;0,48;0,52;0,51;6,04;;;6,41;-0,13;0,27;2.569.294.560,00
VSPT4;0,00;;0,00;0,00;0,00;12,17;-2,09;-1,89;0,00;-31,74;3,74;-0,08;0,00;0,00;0,00;0,78;-1,99;-0,96;-2,20;0,48;0,52;0,51;6,04;;;6,41;-0,13;0,00;2.569.294.560,00
VSTE3;4,41;1,15;9,87;0,47;0,30;64,13;8,73;4,02;4,55;7,07;2,52;0,26;0,40;2,91;-0,43;1,48;4,74;3,02;7,98;0,64;0,36;0,75;15,50;;70.405,85;9,42;0,45;-0,02;504.212.247,63
VTRU3;13,17;0,19;-6,54;1,94;1,57;22,04;-7,31;-14,81;-13,25;-9,57;3,68;-0,54;0,97;3,73;-3,43;4,48;-29,57;-24,02;-29,52;0,81;0,19;1,62;;;11.000.546,90;6,81;-2,01;;498.959.370,69
VULC3;14,82;32,59;4,14;1,88;1,17;41,06;20,92;31,34;6,20;7,08;0,88;0,27;1,30;2,84;-3,11;2,95;45,47;28,32;12,76;0,62;0,38;0,90;24,73;104,84;19.968.078,38;7,88;3,58;0,04;4.712.495.759,40
VVEO3;1,35;;21,61;0,23;0,05;14,91;4,92;0,17;0,76;5,80;5,04;1,53;0,04;0,38;-0,10;1,33;1,07;0,22;10,36;0,21;0,79;1,30;21,25;-30,21;2.389.624,48;5,83;0,06;-0,21;435.807.820,80
WDCN3;2,45;;-0,81;0,33;0,12;25,79;-16,97;-22,70;-1,08;0,80;1,88;-0,58;0,18;0,47;-0,28;1,87;-40,95;-15,28;-41,52;0,37;0,63;0,67;3,96;;30.999,60;7,42;-3,04;0,00;155.480.584,35
WEGE3;44,10;4,91;29,44;10,43;4,27;33,24;19,66;15,64;23,42;23,00;-0,42;-0,19;4,61;19,13;-11,54;1,55;35,43;14,49;28,32;0,41;0,56;0,93;18,49;21,85;303.824.407,19;4,23;1,50;69,02;185.101.723.711,80
WEST3;8,32;;-44,04;0,42;0,31;39,64;-15,97;-1,37;-3,77;0,31;4,08;-0,46;0,60;0,81;-0,75;3,00;-0,96;-0,71;-11,40;0,75;0,25;0,52;-9,25;;209.711,45;19,76;-0,19;0,49;92.429.775,36
WHRL3;3,99;7,97;18,26;3,13;0,61;18,76;8,60;2,66;5,64;5,76;0,11;0,06;0,49;-9,83;-1,73;0,91;17,12;3,34;20,84;0,20;0,80;1,26;6,29;-14,35;11.281,65;1,28;0,22;-0,29;6.010.338.709,35
WHRL4;4,02;8,59;18,40;3,15;0,61;18,76;8,60;2,66;5,68;5,76;0,11;0,06;0,49;-9,91;-1,75;0,91;17,12;3,34;20,84;0,20;0,80;1,26;6,29;-14,35;56.247,00;1,28;0,22;-0,29;6.010.338.709,35
WIZC3;7,85;8,01;6,46;1,83;0,52;61,24;44,14;14,43;2,11;2,10;-0,01;-0,01;0,93;34,31;-0,71;1,06;28,26;8,04;23,53;0,28;0,46;0,56;11,49;-0,05;3.515.002,52;4,30;1,21;0,44;1.255.272.163,70
WLMM3;20,10;7,90;9,23;0,92;0,46;13,02;5,49;2,70;4,54;5,86;1,48;0,30;0,25;1,68;-1,13;1,89;10,00;5,03;8,01;0,50;0,50;1,86;24,89;7,82;38.190,00;21,78;2,18;-0,25;706.336.816,50
WLMM4;18,81;9,29;8,64;0,86;0,43;13,02;5,49;2,70;4,25;5,86;1,48;0,30;0,23;1,58;-1,05;1,89;10,00;5,03;8,01;0,50;0,50;1,86;24,89;7,82;25.547,74;21,78;2,18;-0,24;706.336.816,50
YDUQ3;9,54;5,97;22,05;0,87;0,27;60,32;14,84;2,14;3,18;8,39;5,21;1,43;0,47;3,49;-0,36;1,47;3,96;1,22;9,39;0,31;0,69;0,57;7,46;3,85;42.369.303,14;10,94;0,43;-0,35;2.614.807.638,54
ZAMP3;3,50;;34,09;1,02;0,32;65,87;3,05;0,77;8,64;14,38;5,74;0,68;0,26;-4,99;-0,41;0,77;3,00;0,93;6,13;0,31;0,69;1,21;18,51;;247.849,00;3,43;0,10;-0,26;1.424.270.382,50
